,uuid,frameVersion,setCode,isOnlineOnly,isTextless,keywords,name,text,type,rules,leaked_names,has_leakage
14,485e314b-3713-57b4-8a77-4e160168be10,2015,SPG,False,False,"Reach, Evoke, Flash",Endurance,"Flash
Reach
When this creature enters, up to one target player puts all the cards from their graveyard on the bottom of their library in a random order.
Evoke—Exile a green card from your hand.",Creature — Elemental Incarnation,"If you pay the evoke cost, you can have the creature's own triggered ability resolve before the evoke triggered ability. You can cast spells after that ability resolves but before you have to sacrifice the creature.To determine the total cost of a spell, start with the mana cost or alternative cost you're paying (such as an evoke cost), add any cost increases, then apply any cost reductions. The mana value of the spell is determined by only its mana cost, no matter what the total cost to cast that spell was.",[],False
30,81ffffe0-4f6b-5ad3-bb57-825e97f056ac,2015,SPG,False,False,First strike,"Mirri, Weatherlight Duelist","First strike
Whenever Mirri attacks, each opponent can't block with more than one creature this combat.
As long as Mirri is tapped, no more than one creature can attack you each combat.",Legendary Creature — Cat Warrior,"While Mirri is tapped, there's no restriction on how many creatures can attack planeswalkers you control or battles you protect.Tapping Mirri after creatures have attacked will not remove creatures from combat.",[],False
34,2ecdc2bc-c9b3-5789-8fc8-9db6a4cd6bdf,2015,MKM,False,False,"Flying, Trample",Krenko's Buzzcrusher,"Flying, trample
When this creature enters, for each player, destroy up to one nonbasic land that player controls. For each land destroyed this way, its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.",Artifact Creature — Insect Thopter,None of the nonbasic lands are targets of Krenko's Buzzcrusher's triggered ability.,[],False
41,f0bd4ecd-4083-54d5-8f38-17653ff7c79e,2015,LTR,False,False,Scry,"Elrond, Lord of Rivendell","Whenever Elrond or another creature you control enters, scry 1. If this is the second time this ability has resolved this turn, the Ring tempts you.",Legendary Creature — Elf Noble,"Each player can have only one emblem named The Ring and only one Ring-bearer at a time.Some spells and abilities that cause the Ring to tempt you may require targets. If each target chosen is an illegal target as that spell or ability tries to resolve, it won't resolve. The Ring won't tempt you.The Ring gains its abilities in order from top to bottom. Once it gains an ability, it has that ability for the rest of the game.The Ring can tempt you even if you don't control a creature. In this case, abilities that trigger ""whenever the Ring tempts you"" will still trigger.As the Ring tempts you, you get an emblem named The Ring if you don't have one. Then your emblem gains its next ability and you choose a creature you control to become (or remain) your Ring-bearer.If the creature you choose as your Ring-bearer was already your Ring-bearer, that still counts as choosing that creature as your Ring-bearer for the purpose of abilities that trigger ""whenever you choose a creature as your Ring-bearer"" or abilities that care about which creature was chosen as your Ring-bearer.Each time the Ring tempts you, you must choose a creature if you control one.",[],False
42,7e3616a4-5c33-5d57-8101-88d243137efb,2015,J22,False,False,,Reckless Fireweaver,"Whenever an artifact you control enters, this creature deals 1 damage to each opponent.",Creature — Human Artificer,"In a Two-Headed Giant game, Reckless Fireweaver's ability causes 2 damage total to be dealt to the opposing team.",[],False
46,89550092-6858-55fe-9b0c-c87f75066472,2015,EA3,True,False,,Canopy Vista,"({T}: Add {G} or {W}.)
This land enters tapped unless you control two or more basic lands.",Land — Forest Plains,"However, because these cards have basic land types, effects that specify a basic land type without also specifying that the land be basic can affect them. For example, a spell or ability that reads ""Destroy target Forest"" can target Canopy Vista, while one that reads ""Destroy target basic Forest"" cannot.Even though these lands have basic land types, they are not basic lands because ""basic"" doesn't appear on their type line. Notably, controlling two or more of them won't allow others to enter the battlefield untapped.If one of these lands enters the battlefield at the same time as any number of basic lands, those other lands are not counted when determining if this land enters the battlefield tapped or untapped.",[],False
51,9c6b2e2a-0bda-5b77-87aa-56ed24b18fcd,2015,LCI,False,False,Transform,Thousand Moons Smithy // Barracks of the Thousand,"(Transforms from Thousand Moons Smithy.)
{T}: Add {W}.
Whenever you cast an artifact or creature spell using mana produced by Barracks of the Thousand, create a white Gnome Soldier artifact creature token with ""This token's power and toughness are each equal to the number of artifacts and/or creatures you control.""",Legendary Artifact Land,"The power and toughness of the Gnome Soldier token will change as the number of artifacts and/or creatures you control changes.An artifact creature you control counts only once towards the Gnome Soldier's power and toughness.The Gnome Soldier's ability will count the Gnome Soldier itself, so it will be at least 1/1.Barracks of the Thousand's triggered ability will resolve before the spell that caused it to trigger.",[],False
70,ec657475-626e-5573-b0cd-c5c93c582a7b,2015,CMM,False,False,,Bane of Bala Ged,"Whenever this creature attacks, defending player exiles two permanents they control.",Creature — Eldrazi,"The permanents are exiled before blockers are chosen.If the defending player controls only one permanent, that permanent will be exiled.If Bane of Bala Ged attacks a planeswalker, the defending player may exile that planeswalker. Bane of Bala Ged will still be attacking and may be blocked as normal. If it’s not blocked, it won’t deal combat damage.",[],False
87,a2ed44e1-a091-50f2-b0ac-3c3275580275,2015,WHO,False,False,"Surveil, Jump, Jump-start",Start the TARDIS,"Surveil 2, then draw a card. You may planeswalk. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",Sorcery,"You perform the actions stated on a card in sequence. For some spells and abilities, you'll surveil last. For others, you'll surveil and then perform other actions.When you surveil, you may put all the cards you look at back on top of your library, you may put all of those cards into your graveyard, or you may put some of those cards on top and the rest of them into your graveyard.When casting a spell with jump-start, you must still follow any timing restrictions and permissions, including those based on the card's type. For instance, you can cast a sorcery using jump-start only when you could normally cast a sorcery.If an effect allows you to pay an alternative cost rather than a spell's mana cost, you may pay that alternative cost when you jump-start a spell. You'll still discard a card as an additional cost to cast it.If a card with jump-start is put into your graveyard during your turn, you'll be able to cast it right away if it's legal to do so, before an opponent can take any actions.You may planeswalk only in games using the Planechase variant. If you are instructed to planeswalk in any other game, nothing happens.A spell cast using jump-start will always be exiled afterward, whether it resolves, it's countered, or it leaves the stack in some other way.",[],False
106,004fc38e-8413-58f7-bb94-4783b3228a3f,2015,ONC,False,False,Proliferate,Contagion Clasp,"When this artifact enters, put a -1/-1 counter on target creature.
{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Artifact,"An ability that triggers ""Whenever you proliferate"" triggers even if you chose no permanents or players while doing so.To proliferate, you can choose any permanent that has a counter, including ones controlled by opponents. You can choose any player who has a counter, including opponents. You can't choose cards in any zone other than the battlefield, even if they have counters on them.You don't have to choose every permanent or player that has a counter, only the ones you want to add another counter to. Since ""any number"" includes zero, you don't have to choose any permanents at all, and you don't have to choose any players at all.If a player or permanent has more than one kind of counter on it, and you choose for it to get additional counters, it must get one of each kind of counter it already has. You can't have it get just one kind of counter it already has and not the others.Players can respond to a spell or ability whose effect includes proliferating. Once that spell or ability starts to resolve, however, and its controller chooses which permanents and players will get new counters, it's too late for anyone to respond.If a permanent ever has both +1/+1 counters and -1/-1 counters on it at the same time, they're removed in pairs as a state-based action so that the permanent has only one of those kinds of counters on it.Contagion Clasp's first ability is mandatory. If you're the only player who controls a creature, you must target one of them.",[],False
112,96af75ea-d5cd-5c15-a766-e53b6e1bacd5,2015,LTC,False,False,,Bastion Protector,Commander creatures you control get +2/+2 and have indestructible.,Creature — Human Soldier,"Bastion Protector's ability doesn't apply to commanders that aren't currently creatures.Bastion Protector's ability applies to any commander creature you control, whether you own it or not.A ""commander creature"" is a permanent that's both someone's commander and a creature.",[],False
113,0b4754a2-91e4-5b77-8565-12121cfb94bf,2015,CMM,False,False,,Descendants' Fury,"Whenever one or more creatures you control deal combat damage to a player, you may sacrifice one of them. If you do, reveal cards from the top of your library until you reveal a creature card that shares a creature type with the sacrificed creature. Put that card onto the battlefield and the rest on the bottom of your library in a random order.",Enchantment,"If you don't reveal a creature card that shares a creature type with the creature you sacrificed, you'll just reveal and randomize your library.Compare the revealed cards to the creature as it last existed before it was sacrificed, not to the creature card as it exists in its owner's graveyard, to determine which card from your library you put onto the battlefield.If the sacrificed creature has no creature type, no card can share a creature type with it.You'll reveal cards until you find one that shares at least one creature type with the creature you sacrificed. For example, if you sacrificed a Cat Wizard, you'll stop if you reveal a Human Wizard or Cat Soldier.",[],False
