Token,IOB2
Last,O
updated,O
on,O
November,O
1,O
,,O
2025,O
Mana,B-ARTIFACT
Crypt,I-ARTIFACT
Illustration,O
by,O
Dominik,O
Mayer,O
Artifacts,O
are,O
as,O
integral,O
to,O
Magic,O
as,O
creatures,O
and,O
lands,O
,,O
and,O
they,O
’,O
ve,O
been,O
around,O
since,O
the,O
beginning,O
.,O

They,O
’,O
re,O
essentials,O
in,O
every,O
new,O
Magic,O
set,O
,,O
sometimes,O
with,O
entire,O
planes,O
or,O
blocks,O
use,O
artifacts,O
as,O
a,O
central,O
theme,O
.,O

Mirrodin,O
block,O
,,O
Kaladesh,O
block,O
,,O
and,O
Antiquities,O
are,O
just,O
a,O
few,O
examples,O
of,O
sets,O
that,O
put,O
artifacts,O
front,O
and,O
center,O
.,O

They,O
also,O
are,O
a,O
driving,O
force,O
in,O
the,O
lore,O
.,O

Mirari,B-ARTIFACT
,,O
The,B-ARTIFACT
Immortal,I-ARTIFACT
Sun,I-ARTIFACT
,,O
Helvault,B-ARTIFACT
,,O
Legacy,B-ARTIFACT
Weapon,I-ARTIFACT
,,O
and,O
The,B-PLANESWALKER
Aetherspark,I-PLANESWALKER
…,O
the,O
list,O
continues,O
.,O

Feels,O
like,O
we,O
always,O
travel,O
to,O
new,O
planes,O
in,O
search,O
of,O
some,O
mystical,O
hunk,O
of,O
metal,O
that,O
turns,O
the,O
tides,O
of,O
whatever,O
multiversal,O
war,O
is,O
going,O
on,O
.,O

I,O
combed,O
through,O
thousands,O
of,O
artifacts,O
to,O
deliver,O
you,O
the,O
best,O
of,O
the,O
best,O
,,O
so,O
let,O
’,O
s,O
lay,O
down,O
some,O
ground,O
rules,O
and,O
get,O
to,O
it,O
.,O

What,O
Are,O
Artifacts,O
in,O
MTG,O
?,O
Mycosynth,B-ARTIFACT
Lattice,I-ARTIFACT
Illustration,O
by,O
Anthony,O
S.,O
Waters,O
Artifact,O
is,O
one,O
of,O
the,O
original,O
card,O
types,O
in,O
Magic,O
.,O

They,O
’,O
re,O
similar,O
to,O
enchantments,O
in,O
that,O
they,O
’,O
re,O
