,uuid,frameVersion,setCode,isOnlineOnly,isTextless,keywords,name,text,type,rules
8,419f6282-14ff-5184-b28e-c3e191911326,2015,LTC,False,False,Replicate,Mists of Lórien,"Replicate {U} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Return target nonland permanent and each other nonland permanent with the same mana value as that permanent to their owners' hands.",Sorcery,"If a permanent has {X} in its mana cost, X is 0 when determining its mana value.If the target nonland permanent is an illegal target as Mists of Lórien tries to resolve, it won't resolve and none of its effects will happen. No permanents will be returned to their owners' hands.A copy of a spell can be countered like any other spell, but it must be countered individually. Countering a spell with replicate won't affect the copies."
20,485e314b-3713-57b4-8a77-4e160168be10,2015,SPG,False,False,"Reach, Evoke, Flash",Endurance,"Flash
Reach
When this creature enters, up to one target player puts all the cards from their graveyard on the bottom of their library in a random order.
Evoke—Exile a green card from your hand.",Creature — Elemental Incarnation,"If you pay the evoke cost, you can have the creature's own triggered ability resolve before the evoke triggered ability. You can cast spells after that ability resolves but before you have to sacrifice the creature.To determine the total cost of a spell, start with the mana cost or alternative cost you're paying (such as an evoke cost), add any cost increases, then apply any cost reductions. The mana value of the spell is determined by only its mana cost, no matter what the total cost to cast that spell was."
42,81ffffe0-4f6b-5ad3-bb57-825e97f056ac,2015,SPG,False,False,First strike,"Mirri, Weatherlight Duelist","First strike
Whenever Mirri attacks, each opponent can't block with more than one creature this combat.
As long as Mirri is tapped, no more than one creature can attack you each combat.",Legendary Creature — Cat Warrior,"While Mirri is tapped, there's no restriction on how many creatures can attack planeswalkers you control or battles you protect.Tapping Mirri after creatures have attacked will not remove creatures from combat."
46,2ecdc2bc-c9b3-5789-8fc8-9db6a4cd6bdf,2015,MKM,False,False,"Flying, Trample",Krenko's Buzzcrusher,"Flying, trample
When this creature enters, for each player, destroy up to one nonbasic land that player controls. For each land destroyed this way, its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.",Artifact Creature — Insect Thopter,None of the nonbasic lands are targets of Krenko's Buzzcrusher's triggered ability.
54,f0bd4ecd-4083-54d5-8f38-17653ff7c79e,2015,LTR,False,False,Scry,"Elrond, Lord of Rivendell","Whenever Elrond or another creature you control enters, scry 1. If this is the second time this ability has resolved this turn, the Ring tempts you.",Legendary Creature — Elf Noble,"Each player can have only one emblem named The Ring and only one Ring-bearer at a time.Some spells and abilities that cause the Ring to tempt you may require targets. If each target chosen is an illegal target as that spell or ability tries to resolve, it won't resolve. The Ring won't tempt you.The Ring gains its abilities in order from top to bottom. Once it gains an ability, it has that ability for the rest of the game.The Ring can tempt you even if you don't control a creature. In this case, abilities that trigger ""whenever the Ring tempts you"" will still trigger.As the Ring tempts you, you get an emblem named The Ring if you don't have one. Then your emblem gains its next ability and you choose a creature you control to become (or remain) your Ring-bearer.If the creature you choose as your Ring-bearer was already your Ring-bearer, that still counts as choosing that creature as your Ring-bearer for the purpose of abilities that trigger ""whenever you choose a creature as your Ring-bearer"" or abilities that care about which creature was chosen as your Ring-bearer.Each time the Ring tempts you, you must choose a creature if you control one."
59,89550092-6858-55fe-9b0c-c87f75066472,2015,EA3,True,False,,Canopy Vista,"({T}: Add {G} or {W}.)
This land enters tapped unless you control two or more basic lands.",Land — Forest Plains,"However, because these cards have basic land types, effects that specify a basic land type without also specifying that the land be basic can affect them. For example, a spell or ability that reads ""Destroy target Forest"" can target Canopy Vista, while one that reads ""Destroy target basic Forest"" cannot.Even though these lands have basic land types, they are not basic lands because ""basic"" doesn't appear on their type line. Notably, controlling two or more of them won't allow others to enter the battlefield untapped.If one of these lands enters the battlefield at the same time as any number of basic lands, those other lands are not counted when determining if this land enters the battlefield tapped or untapped."
64,9c6b2e2a-0bda-5b77-87aa-56ed24b18fcd,2015,LCI,False,False,Transform,Thousand Moons Smithy // Barracks of the Thousand,"(Transforms from Thousand Moons Smithy.)
{T}: Add {W}.
Whenever you cast an artifact or creature spell using mana produced by Barracks of the Thousand, create a white Gnome Soldier artifact creature token with ""This token's power and toughness are each equal to the number of artifacts and/or creatures you control.""",Legendary Artifact Land,"The power and toughness of the Gnome Soldier token will change as the number of artifacts and/or creatures you control changes.An artifact creature you control counts only once towards the Gnome Soldier's power and toughness.The Gnome Soldier's ability will count the Gnome Soldier itself, so it will be at least 1/1.Barracks of the Thousand's triggered ability will resolve before the spell that caused it to trigger."
88,ec657475-626e-5573-b0cd-c5c93c582a7b,2015,CMM,False,False,,Bane of Bala Ged,"Whenever this creature attacks, defending player exiles two permanents they control.",Creature — Eldrazi,"The permanents are exiled before blockers are chosen.If the defending player controls only one permanent, that permanent will be exiled.If Bane of Bala Ged attacks a planeswalker, the defending player may exile that planeswalker. Bane of Bala Ged will still be attacking and may be blocked as normal. If it’s not blocked, it won’t deal combat damage."
108,a2ed44e1-a091-50f2-b0ac-3c3275580275,2015,WHO,False,False,"Surveil, Jump, Jump-start",Start the TARDIS,"Surveil 2, then draw a card. You may planeswalk. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",Sorcery,"You perform the actions stated on a card in sequence. For some spells and abilities, you'll surveil last. For others, you'll surveil and then perform other actions.When you surveil, you may put all the cards you look at back on top of your library, you may put all of those cards into your graveyard, or you may put some of those cards on top and the rest of them into your graveyard.When casting a spell with jump-start, you must still follow any timing restrictions and permissions, including those based on the card's type. For instance, you can cast a sorcery using jump-start only when you could normally cast a sorcery.If an effect allows you to pay an alternative cost rather than a spell's mana cost, you may pay that alternative cost when you jump-start a spell. You'll still discard a card as an additional cost to cast it.If a card with jump-start is put into your graveyard during your turn, you'll be able to cast it right away if it's legal to do so, before an opponent can take any actions.You may planeswalk only in games using the Planechase variant. If you are instructed to planeswalk in any other game, nothing happens.A spell cast using jump-start will always be exiled afterward, whether it resolves, it's countered, or it leaves the stack in some other way."
121,51478c9f-e157-57e4-ba7f-5c0cd05df632,2015,WOT,False,False,,Bitterblossom,"At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.",Kindred Enchantment — Faerie,"While it appears only on cards that already have other card types, kindred is a card type and will be counted by effects that refer to the number of card types among cards in a zone.Kindred is a card type that allows noncreature cards to have creature types. For example, Echoes of Eternity is an Eldrazi (although not a creature) while on the battlefield and an Eldrazi card (although not a creature card) in zones other than the battlefield.This cards was originally printed with the ""tribal"" card type. That card type has been replaced with ""kindred"". This change does not affect the gameplay function of this card.The effect is mandatory. You'll lose 1 life even if you have only 1 life left.The life loss isn't a payment. You'll get a token even if you had 0 life (and another effect is stopping you from losing the game)."
